MTDT_INDEX,DTCT_UID,ROAD_POTHOLE,ROAD_CRACK,PLC_LTTD,PLC_LGTD,ROAD_INFO,DSTA_LGLD_INFO,DSTA_ADSTRD_INFO,IMG_CONF
11821,RAD04_240325092501_21420,1,0,36.3808791,127.3259708,대전광역시 유성구 죽동 650,죽동,노은2동,₩0
11783,RAD04_240325082834_18594,1,0,36.3631213,127.3402254,대전광역시 유성구 장대동 350,장대동,온천2동,₩0
11768,RAD04_240325080859_18153,1,0,36.3578843,127.3360467,대전광역시 유성구 장대동 293,장대동,온천2동,₩0
11765,RAD04_240325080701_18024,1,0,36.3578187,127.3335684,대전광역시 유성구 장대동 191-7,장대동,온천2동,₩0
11764,RAD04_240325080655_18019,1,0,36.357705,127.3335513,대전광역시 유성구 장대동 251-3,장대동,온천2동,₩0
11763,RAD04_240325080652_18015,1,0,36.3576372,127.3335392,대전광역시 유성구 장대동 251-3,장대동,온천2동,₩0
11757,RAD04_240325080523_17876,1,0,36.3579331,127.3363765,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
11756,RAD04_240325080427_17800,1,0,36.358644,127.3351284,대전광역시 유성구 장대동 291,장대동,온천2동,₩0
11748,RAD04_240325080047_17699,1,0,36.3587926,127.3336676,대전광역시 유성구 장대동 291,장대동,온천2동,₩0
11742,RAD04_240325075934_17628,1,0,36.3594135,127.3353638,대전광역시 유성구 장대동 291,장대동,온천2동,₩0
11733,RAD04_240325073017_17264,1,0,36.3645854,127.3378221,대전광역시 유성구 장대동 321,장대동,온천2동,₩0
11730,RAD04_240325070404_16852,1,0,36.3660409,127.3519414,대전광역시 유성구 궁동 220,어은동,온천2동,₩0
11723,RAD04_240325064134_15751,1,0,36.3663175,127.332103,대전광역시 유성구 장대동 17-4,장대동,온천2동,₩0
11722,RAD04_240325064104_15733,1,0,36.3665114,127.3316635,대전광역시 유성구 장대동 17-4,장대동,온천2동,₩0
11719,RAD04_240325063908_15555,1,0,36.3721043,127.3216957,대전광역시 유성구 노은동 569,노은동,노은1동,₩0
11709,RAD04_240324083743_14339,1,0,36.3668323,127.3150418,대전광역시 유성구 노은동 602,노은동,노은1동,₩0
11699,RAD04_240324082753_13894,1,0,36.3638725,127.3169661,대전광역시 유성구 노은동 609,노은동,노은1동,₩0
11669,RAD04_240324070742_11853,1,0,36.3597827,127.3435896,대전광역시 유성구 궁동 473,궁동,온천1동,₩0
11668,RAD04_240324070740_11847,1,0,36.3598142,127.3436026,대전광역시 유성구 궁동 473,궁동,온천1동,₩0
11664,RAD04_240324065434_11366,1,0,36.3746277,127.356279,대전광역시 유성구 어은동 52-10,어은동,온천2동,₩0
11662,RAD04_240324065241_11321,1,0,36.3744368,127.3561441,대전광역시 유성구 어은동 52-7,어은동,온천2동,₩0
11633,RAD04_240323085221_9658,1,0,36.3751087,127.3260844,대전광역시 유성구 노은동 138-45,노은동,노은1동,₩0
11631,RAD04_240323085157_9490,1,0,36.3706302,127.3271548,대전광역시 유성구 노은동 107-34,노은동,노은1동,₩0
11630,RAD04_240323085156_9483,1,0,36.370444,127.3271596,대전광역시 유성구 노은동 107-39,노은동,노은1동,₩0
11629,RAD04_240323085151_9421,1,0,36.3695583,127.3271559,대전광역시 유성구 노은동 112-16,노은동,노은1동,₩0
11628,RAD04_240323085149_9412,1,0,36.3692296,127.3271627,대전광역시 유성구 노은동 62-1,노은동,노은1동,₩0
11604,RAD04_240323081001_7614,1,0,36.3778468,127.3787293,대전광역시 유성구 가정동 20-13,가정동,신성동,₩0
11552,RAD04_240323065442_6842,1,0,36.369989,127.3234588,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
11550,RAD04_240323065437_6786,1,0,36.3704256,127.3234617,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
11547,RAD04_240323065350_6736,1,0,36.3721127,127.3217454,대전광역시 유성구 노은동 569,노은동,노은1동,₩0
11451,RAD04_240322162743_5316,1,0,36.3935438,127.3127071,대전광역시 유성구 반석동 689,반석동,노은3동,₩0
11448,RAD04_240322161937_5205,1,0,36.3925814,127.3115061,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
11440,RAD04_240322160054_4348,1,0,36.3712802,127.323494,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
11439,RAD04_240322160038_4290,1,0,36.3698752,127.3234894,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
11405,RAD04_240322144217_3578,1,0,36.3619318,127.3371929,대전광역시 유성구 장대동 344,장대동,온천2동,₩0
11379,RAD04_240322135834_2477,1,0,36.3647811,127.3170002,대전광역시 유성구 노은동 609,노은동,노은1동,₩0
11333,RAD04_240322103149_1434,1,0,36.3878495,127.3099575,대전광역시 유성구 지족동 1060-1,지족동,노은3동,₩0
11301,RAD04_240322094110_92,1,0,36.3721896,127.3174811,대전광역시 유성구 노은동 569,노은동,노은1동,₩0
11247,RAD04_240322082154_3793,1,0,36.3588135,127.3395885,대전광역시 유성구 장대동 374,장대동,온천2동,₩0
11205,RAD04_240322063158_496,1,0,36.3700646,127.3234103,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
11090,RAD04_240321145420_42243,1,0,36.4101675,127.300512,대전광역시 유성구 안산동 227-9,안산동,노은2동,₩0
11089,RAD04_240321145419_42236,1,0,36.410186,127.30046,대전광역시 유성구 안산동 227-9,안산동,노은2동,₩0
11071,RAD04_240321142012_41740,1,0,36.3923987,127.3088371,대전광역시 유성구 반석동 616,반석동,노은3동,₩0
11058,RAD04_240321141510_41496,1,0,36.3917836,127.3118112,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
10989,RAD04_240321103634_39698,1,0,36.3863873,127.3380045,대전광역시 유성구 하기동 145-1,하기동,신성동,₩0
10919,RAD04_240321095743_37682,1,0,36.374705,127.3211138,대전광역시 유성구 지족동 973,지족동,노은1동,₩0
10918,RAD04_240321095738_37677,1,0,36.3747057,127.3210463,대전광역시 유성구 지족동 973,지족동,노은1동,₩0
10627,RAD04_240320144326_28323,1,0,36.3691698,127.3286026,대전광역시 유성구 노은동 97,노은동,노은1동,₩0
10626,RAD04_240320144309_28313,1,0,36.3690079,127.3286739,대전광역시 유성구 노은동 97,노은동,노은1동,₩0
10621,RAD04_240320144151_28281,1,0,36.3673105,127.3294025,대전광역시 유성구 노은동 97,노은동,노은1동,₩0
10620,RAD04_240320144149_28280,1,0,36.3672892,127.3294121,대전광역시 유성구 노은동 97,노은동,노은1동,₩0
10530,RAD04_240320104441_25805,1,0,36.3586328,127.3352517,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
10518,RAD04_240320104112_25483,1,0,36.3658437,127.3325814,대전광역시 유성구 장대동 121-2,장대동,온천2동,₩0
10517,RAD04_240320104110_25464,1,0,36.365939,127.3325248,대전광역시 유성구 장대동 121-2,장대동,온천2동,₩0
10513,RAD04_240320104047_25420,1,0,36.3666807,127.33117,대전광역시 유성구 장대동 116-5,장대동,온천2동,₩0
10510,RAD04_240320103533_25288,1,0,36.3632938,127.3172028,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
10505,RAD04_240320103445_25201,1,0,36.364075,127.3138529,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
10506,RAD04_240320103445_25199,1,0,36.364075,127.3138529,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
10502,RAD04_240320103407_25124,1,0,36.3664283,127.3127698,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
10445,RAD04_240320101647_23608,1,0,36.3983185,127.3155252,대전광역시 유성구 외삼동 574-5,외삼동,노은2동,₩0
10442,RAD04_240320101403_23599,1,0,36.3984152,127.3153139,대전광역시 유성구 외삼동 574-5,외삼동,노은2동,₩0
10440,RAD04_240320101346_23579,1,0,36.3986666,127.3148267,대전광역시 유성구 외삼동 577,외삼동,노은2동,₩0
10439,RAD04_240320101340_23564,1,0,36.3988011,127.3145384,대전광역시 유성구 외삼동 574-5,외삼동,노은2동,₩0
10406,RAD04_240320100130_23137,1,0,36.4155237,127.2979896,대전광역시 유성구 안산동 284-1,안산동,노은2동,₩0
10404,RAD04_240320100025_23085,1,0,36.4180813,127.2957847,대전광역시 유성구 안산동 산 22-6,안산동,노은2동,₩0
10380,RAD04_240320093831_22577,1,0,36.3987553,127.3145941,대전광역시 유성구 외삼동 577,외삼동,노은2동,₩0
10379,RAD04_240320093830_22576,1,0,36.3987361,127.314639,대전광역시 유성구 외삼동 577,외삼동,노은2동,₩0
