Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,6,20,36.4127951,127.3880919
2024,6,20,36.4160065,127.3779992
2024,6,20,36.3982791,127.3571694
2024,6,20,36.3907666,127.3318801
2024,6,20,36.3900826,127.3237051
2024,6,20,36.387186,127.3220784
2024,6,20,36.3751776,127.3260698
2024,6,20,36.3670016,127.3306055
2024,6,20,36.363188,127.341817
2024,6,19,36.361265,127.3477629
2024,6,19,36.3651443,127.3383789
2024,6,19,36.3719043,127.3406138
2024,6,19,36.3738357,127.3412357
2024,6,17,36.3667677,127.3176666
2024,6,17,36.364679,127.3380516
2024,6,17,36.3753099,127.3408985
2024,5,30,36.4184857,127.3787951
2024,5,29,36.4457878,127.3853832
2024,5,29,36.4422107,127.3850539
2024,5,29,36.4428103,127.3855016
2024,5,28,36.3602916,127.3443451
2024,5,13,36.3502447,127.3479668
2024,5,13,36.3503694,127.3479733
2024,5,9,36.3403448,127.3126916
2024,5,9,36.3395661,127.304557
2024,5,9,36.3394969,127.3045186
2024,5,9,36.3597807,127.3048398
2024,5,9,36.3633949,127.3412869
2024,5,8,36.3554468,127.3353278
2024,5,8,36.3605154,127.3531771
2024,5,7,36.3797173,127.3429689
2024,5,7,36.3633327,127.3414983
2024,5,7,36.38559,127.3784667
2024,5,7,36.3845918,127.377755
2024,5,7,36.3605806,127.3499523
2024,5,3,36.3710325,127.3271376
2024,5,3,36.3700012,127.3271469
2024,4,30,36.3900401,127.4053208
2024,4,30,36.3562525,127.3422689
2024,4,24,36.341757,127.3388074
2024,4,23,36.360006,127.3280608
2024,4,23,36.3581111,127.331416
2024,4,22,36.374867,127.3296204
2024,4,22,36.3722565,127.3218832
2024,4,22,36.3755037,127.3227745
2024,4,22,36.3714329,127.3235289
2024,4,22,36.3584505,127.3562375
2024,4,19,36.3595886,127.32908
2024,4,19,36.4070087,127.3732129
2024,4,19,36.3939595,127.3503828
2024,3,29,36.3568313,127.3466613
2024,3,28,36.3634859,127.3410776
2024,3,28,36.360928,127.3547032
2024,3,27,36.4652806,127.3965343
2024,3,27,36.4586442,127.3903297
2024,3,27,36.4586255,127.3902565
2024,3,27,36.2955885,127.3215133
2024,3,27,36.2944116,127.3210602
2024,3,27,36.2856584,127.3077602
2024,3,27,36.3545161,127.3388108
2024,3,27,36.3505336,127.3222749
2024,3,27,36.3486033,127.3231306
2024,3,27,36.3486314,127.3232744
2024,3,27,36.3483272,127.324071
2024,3,27,36.3485201,127.3258578
2024,3,26,36.3670986,127.319076
2024,3,26,36.4073273,127.3744373
2024,3,26,36.4441744,127.4033977
2024,3,26,36.4497515,127.4212713
2024,3,26,36.4497782,127.4213387
2024,3,26,36.4498535,127.4215358
2024,3,26,36.4498803,127.4216046
2024,3,26,36.4509668,127.427948
2024,3,26,36.4459118,127.4296444
2024,3,26,36.4436518,127.4334659
2024,3,26,36.4430664,127.4334039
2024,3,26,36.443074,127.4333858
2024,3,26,36.4430078,127.4337313
2024,3,26,36.4434515,127.4335004
2024,3,26,36.4437076,127.4334665
2024,3,26,36.4448579,127.4301487
2024,3,26,36.4448868,127.4300601
2024,3,26,36.4420519,127.4295768
2024,3,26,36.4419786,127.4295673
2024,3,26,36.4421481,127.4284869
2024,3,26,36.4441973,127.4255582
2024,3,25,36.3662209,127.3325207
2024,3,25,36.368572,127.3178383
2024,3,25,36.3797111,127.3160106
2024,3,22,36.37332,127.3308548
2024,3,22,36.3484218,127.3353832
2024,3,15,36.3439915,127.3062637
2024,2,28,36.3633423,127.3563738
2024,2,28,36.3633553,127.3563531
2024,2,28,36.3634022,127.3564505
2024,2,28,36.3634022,127.3564505
2024,2,28,36.3633393,127.3563843
2024,2,28,36.3633393,127.3563843
2024,2,28,36.3633393,127.3563843
2024,2,28,36.3633758,127.3563374
2024,9,20,36.3408826,127.3198701
2024,9,20,36.3050871,127.2942619
2024,9,10,36.3371305,127.3345333
2024,9,6,36.4087304,127.3755045
2024,8,6,36.3624144,127.3561372
2024,8,5,36.364056,127.3558003
2024,8,5,36.369134,127.3504628
2024,8,5,36.3940462,127.3504939
2024,8,5,36.3971543,127.3548409
2024,8,5,36.4119107,127.3779061
2024,8,5,36.4182704,127.3788462
2024,8,5,36.3546954,127.3382101
2024,8,5,36.353136,127.3369673
2024,8,1,36.3848419,127.3785481
2024,8,1,36.3636454,127.3272178
2024,8,1,36.3603685,127.3267128
2024,8,1,36.3604705,127.3031363
2024,8,1,36.3594928,127.3239981
2024,8,1,36.358922,127.3287995
2024,8,1,36.3585989,127.3374559
2024,8,1,36.3595454,127.3429622
2024,7,31,36.3624294,127.3562708
2024,7,31,36.3623864,127.3561796
2024,7,30,36.3585841,127.3371612
2024,7,29,36.4458044,127.3853474
2024,7,29,36.4192753,127.37974
2024,7,25,36.3598648,127.2932792
2024,7,23,36.3042144,127.3203217
