월,도로,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,총교통량
2024년 04월,도안중로,174,135,115,100,117,176,485,"1,039","1,252","1,015",965,935,986,"1,075","1,131","1,202","1,293","1,446","1,451",987,729,612,434,265,18119
2024년 04월,둔산대로,422,286,211,201,302,725,"1,700","2,992","3,699","3,493","3,182","3,070","2,980","3,299","3,384","3,474","3,806","3,866","3,779","2,602","2,054","1,821","1,238",722,53308
2024년 04월,버드내길,528,338,278,304,477,"1,020","1,931","2,975","3,216","3,044","2,906","2,759","2,667","2,823","2,926","2,947","3,145","2,996","2,896","2,215","1,947","1,689","1,291",845,48163
2024년 04월,신갈마로,319,246,201,170,208,338,593,"1,084","1,241","1,126","1,029","1,006","1,027","1,043","1,017","1,048","1,133","1,219","1,306","1,050",854,734,570,396,18958
2024년 04월,신탄진로,324,235,190,211,343,678,"1,325","2,244","2,465","1,937","1,831","1,813","1,822","1,962","2,026","2,115","2,250","2,582","2,347","1,475","1,154",932,722,518,33501
2024년 04월,엑스포로,321,206,155,139,172,384,750,"1,373","1,823","1,817","1,684","1,838","1,892","2,033","2,086","2,160","2,271","2,385","2,249","1,662","1,542","1,026",736,461,31165
2024년 04월,유성대로,402,286,217,202,241,521,"1,138","2,080","2,480","2,177","1,842","1,851","1,877","2,011","1,972","2,075","2,358","2,526","2,317","1,763","1,437","1,262",904,594,34533
2024년 04월,한밭대로,994,695,522,470,602,"1,216","2,428","4,184","4,773","4,721","4,588","4,490","4,378","4,722","4,692","4,803","5,027","5,246","5,067","3,864","3,276","2,889","2,200","1,434",77281
2024년 04월,현충원로,287,203,160,167,224,571,"1,297","2,539","3,001","2,638","2,610","2,779","2,890","2,982","3,014","3,037","3,239","3,423","3,223","2,096","1,695","1,303",850,496,44724
2024년 04월,구즉세종로,361,224,185,250,358,858,"2,014","3,098","3,223","2,466","2,065","1,870","1,824","1,999","2,052","2,251","2,810","3,540","3,208","1,992","1,599","1,281",938,555,41021
2024년 04월,북유성대로,931,617,440,388,519,"1,202","2,395","4,184","4,344","4,357","4,037","3,915","3,882","4,073","4,097","4,239","4,562","4,727","4,464","3,542","3,128","2,779","2,151","1,379",70352
2024년 04월,월드컵대로,177,166,132,126,153,324,"1,026","1,837","2,036","1,796","1,440","1,326","1,278","1,376","1,434","1,609","1,918","2,065","2,178","1,400",891,567,377,244,25876
2024년 04월,동부순환도로,86,75,64,65,80,138,344,597,853,631,552,552,571,590,582,633,732,836,796,330,283,244,161,110,9905
2024년 04월,한밭도서관길,120,97,74,74,125,275,545,959,"1,272","1,036",969,965,975,"1,078","1,098","1,148","1,228","1,345","1,306",798,556,478,361,230,17112
