Year,Month,Day,PLC_LTTD,PLC_LGTD,Grid_X,Grid_Y,Grid_ID
2024,3,20,36.3988011,127.3145384,13,3,63
2024,3,20,36.4155237,127.2979896,14,1,69
2024,3,20,36.4180813,127.2957847,15,1,75
2024,3,20,36.3987553,127.3145941,13,3,63
2024,3,20,36.3987361,127.314639,13,3,63
2024,3,20,36.3985853,127.3149502,13,3,63
2024,3,20,36.361201,127.338621,9,5,30
2024,3,19,36.3781416,127.3766398,11,9,49
2024,3,19,36.3855468,127.3785166,11,9,49
2024,3,19,36.3855657,127.3784788,11,9,49
2024,3,19,36.3855478,127.3561245,11,7,47
2024,3,19,36.3656542,127.3326867,9,4,29
2024,3,19,36.3657853,127.3326057,9,4,29
2024,3,19,36.3684685,127.3176704,10,3,34
2024,3,19,36.3655623,127.3176768,9,3,28
2024,3,19,36.3611757,127.3284398,9,4,29
2024,3,19,36.3610381,127.3419231,9,5,30
2024,3,19,36.3697593,127.3234051,10,3,34
2024,3,18,36.3868764,127.3248244,11,4,44
2024,3,18,36.3578995,127.3361589,9,5,30
2024,3,16,36.3709835,127.3271067,10,4,35
2024,3,16,36.3708263,127.3271085,10,4,35
2024,3,16,36.3694598,127.3271185,10,4,35
2024,3,16,36.3678407,127.3271244,10,4,35
2024,3,16,36.3618632,127.3575563,9,7,32
2024,3,16,36.350304,127.3386231,8,5,23
2024,3,16,36.3575365,127.3399083,9,5,30
2024,3,16,36.3582065,127.3396608,9,5,30
2024,3,16,36.3593666,127.3392583,9,5,30
2024,3,16,36.3596018,127.3361984,9,5,30
2024,3,16,36.3587096,127.3362763,9,5,30
2024,3,16,36.3587096,127.3362763,9,5,30
2024,3,16,36.3586145,127.3371732,9,5,30
2024,3,16,36.3586141,127.3372929,9,5,30
2024,3,15,36.3821455,127.3242538,11,4,44
2024,3,15,36.3823345,127.3233784,11,3,43
2024,3,15,36.3934307,127.3127439,12,2,53
2024,3,15,36.3953794,127.3104892,12,2,53
2024,3,15,36.4154359,127.2979932,14,1,69
2024,3,15,36.4180909,127.2958353,15,1,75
2024,3,15,36.4118586,127.2980415,14,1,69
2024,3,15,36.4230935,127.2959228,15,1,75
2024,3,15,36.4232494,127.2957205,15,1,75
2024,3,15,36.4237778,127.2950156,15,1,75
2024,3,15,36.4240066,127.2947117,15,1,75
2024,3,15,36.424371,127.2942183,15,1,75
2024,3,15,36.424298,127.2943179,15,1,75
2024,3,15,36.4244401,127.2941234,15,1,75
2024,3,15,36.424851,127.2935734,15,0,74
2024,3,15,36.42513,127.2930793,15,0,74
2024,3,15,36.4046401,127.3058309,13,2,62
2024,3,15,36.4045878,127.305871,13,2,62
2024,3,15,36.3867309,127.3316777,11,4,44
2024,3,15,36.359924,127.3328281,9,4,29
2024,3,15,36.3894705,127.3015819,12,1,52
2024,3,15,36.3607926,127.3406595,9,5,30
2024,3,8,36.383192,127.3207279,11,3,43
2024,3,8,36.3664857,127.3232562,9,3,28
2024,3,8,36.4142147,127.2981386,14,1,69
2024,3,8,36.3986968,127.3147334,13,3,63
2024,3,8,36.3602462,127.3485352,9,6,31
2024,3,8,36.3617674,127.3475369,9,6,31
2024,3,7,36.3744059,127.3052699,10,2,33
2024,3,7,36.3745453,127.3050501,10,2,33
2024,3,7,36.374596,127.3049595,10,2,33
2024,3,7,36.3866109,127.3032463,11,1,41
2024,3,7,36.3903367,127.2967964,12,1,52
2024,3,7,36.3684586,127.3192012,10,3,34
2024,3,7,36.3570904,127.3380879,9,5,30
2024,3,7,36.3571893,127.3385575,9,5,30
2024,3,6,36.3876842,127.3254523,12,4,55
2024,3,6,36.3872732,127.3257704,12,4,55
2024,3,6,36.387226,127.3257301,12,4,55
2024,3,6,36.3598201,127.3392838,9,5,30
2024,3,6,36.3594103,127.3393021,9,5,30
2024,3,6,36.4137939,127.2981846,14,1,69
2024,3,6,36.4034867,127.3115641,13,2,62
2024,3,6,36.3999679,127.3122242,13,2,62
